open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1691280000000,1836.48000000,1838.58000000,1825.86000000,1830.28000000,90403.99150000,1691283599999,165701947.01934502,169928.00000000,43827.85150000,80334895.42592999,0
1691366400000,1830.28000000,1847.00000000,1802.00000000,1829.10000000,224092.90590000,1691369999999,409166592.89164901,289161.00000000,109927.11500000,200686537.15538600,0
1691452800000,1829.10000000,1876.51000000,1826.33000000,1856.30000000,236336.03000000,1691456399999,436891258.63485801,322607.00000000,121075.13870000,223753000.41018599,0
1691539200000,1856.30000000,1871.99000000,1846.28000000,1855.35000000,191926.83430000,1691542799999,356559464.88331801,266834.00000000,93172.68950000,173114071.77023500,0
1691625600000,1855.36000000,1865.95000000,1845.38000000,1852.47000000,127321.45530000,1691629199999,236043286.65635100,208017.00000000,62527.36150000,115937584.65664400,0
1691712000000,1852.47000000,1857.26000000,1838.05000000,1848.84000000,113209.31030000,1691715599999,209237745.63835999,197546.00000000,54665.68090000,101048972.22795799,0
1691798400000,1848.84000000,1854.01000000,1846.08000000,1849.93000000,63292.64760000,1691801999999,117106742.56984399,154110.00000000,32218.95280000,59615440.05243700,0
1691884800000,1849.94000000,1862.00000000,1834.51000000,1840.73000000,120674.13640000,1691888399999,222956657.34742799,211874.00000000,69109.15080000,127637208.70224500,0
1691971200000,1840.73000000,1856.50000000,1835.00000000,1845.50000000,150196.12030000,1691974799999,277387603.67740297,244296.00000000,69702.79570000,128731746.13751300,0
1692057600000,1845.50000000,1847.36000000,1814.00000000,1828.98000000,186081.69890000,1692061199999,341622741.95627099,264314.00000000,85927.31880000,157737206.70205101,0
1692144000000,1828.98000000,1831.52000000,1798.17000000,1807.81000000,205430.73680000,1692147599999,373631455.89955801,311372.00000000,94619.39960000,172094672.81802699,0
1692230400000,1807.81000000,1809.99000000,1550.00000000,1681.49000000,812138.21590000,1692233999999,1390504308.00338101,906515.00000000,389817.18110000,666353412.64305198,0
1692316800000,1681.49000000,1699.40000000,1641.02000000,1661.59000000,538083.10180000,1692320399999,901117750.71732295,597838.00000000,256018.67180000,428794110.08938599,0
1692403200000,1661.60000000,1696.72000000,1654.31000000,1669.67000000,231919.04850000,1692406799999,387407573.38040000,312174.00000000,116535.73010000,194692011.36082900,0
1692489600000,1669.68000000,1694.75000000,1662.03000000,1685.24000000,195623.52630000,1692493199999,327342264.94862998,275035.00000000,94917.00420000,158824704.09947202,0
1692576000000,1685.23000000,1688.59000000,1649.40000000,1667.55000000,250835.15180000,1692579599999,418860905.06739700,297843.00000000,117136.71800000,195605713.14389801,0
1692662400000,1667.56000000,1669.38000000,1580.00000000,1634.99000000,402012.04500000,1692665999999,657589420.92301798,484314.00000000,187447.18470000,306584459.75679803,0
1692748800000,1635.00000000,1702.11000000,1629.05000000,1679.61000000,374761.10880000,1692752399999,622717740.76397002,472134.00000000,180299.08850000,299569404.88600099,0
1692835200000,1679.61000000,1683.37000000,1635.28000000,1661.16000000,231539.78050000,1692838799999,383948287.50042599,287178.00000000,111082.65850000,184136212.63221902,0
1692921600000,1661.16000000,1677.22000000,1635.51000000,1653.80000000,236261.68980000,1692925199999,390502520.58229601,307211.00000000,114825.18610000,189795100.57487401,0
1693008000000,1653.79000000,1655.59000000,1644.00000000,1647.04000000,79175.42500000,1693011599999,130634757.64833300,157980.00000000,36874.95360000,60839314.57102100,0
1693094400000,1647.03000000,1660.24000000,1646.32000000,1658.33000000,87789.91960000,1693097999999,145109143.68383601,163046.00000000,45374.45330000,75003594.93871500,0
1693180800000,1658.33000000,1664.34000000,1621.75000000,1653.08000000,214351.01430000,1693184399999,352868062.83225000,274580.00000000,103654.50890000,170648261.33481401,0
1693267200000,1653.08000000,1745.84000000,1640.00000000,1729.42000000,494371.08230000,1693270799999,842464924.52209198,504683.00000000,251594.26520000,428870082.85715902,0
1693353600000,1729.41000000,1730.93000000,1694.34000000,1705.23000000,202841.44020000,1693357199999,347291135.28552002,308391.00000000,97462.27280000,166837724.68315700,0
1693440000000,1705.23000000,1729.00000000,1630.00000000,1645.76000000,330518.26680000,1693443599999,554219312.09431100,396774.00000000,158776.94210000,266221239.02103800,0
1693526400000,1645.77000000,1654.53000000,1602.33000000,1629.12000000,302406.16860000,1693529999999,493457144.93884903,368740.00000000,152891.86550000,249490726.90606901,0
1693612800000,1629.13000000,1645.00000000,1628.03000000,1637.03000000,102145.94760000,1693616399999,166937240.93397200,208209.00000000,50845.85580000,83098703.76918299,0
1693699200000,1637.02000000,1647.50000000,1625.14000000,1635.84000000,116767.28620000,1693702799999,190979647.35331100,216339.00000000,58997.60720000,96501876.14426801,0
1693785600000,1635.84000000,1644.82000000,1616.32000000,1630.51000000,168010.90560000,1693789199999,274049115.41792202,275381.00000000,79390.44060000,129501176.24789900,0
1693872000000,1630.52000000,1648.02000000,1609.69000000,1634.45000000,204365.49070000,1693875599999,333010633.96395499,299045.00000000,92320.42680000,150498646.09196401,0
1693958400000,1634.46000000,1670.00000000,1609.20000000,1633.15000000,219541.01930000,1693961999999,358419121.47431898,331227.00000000,106351.46940000,173671492.35316101,0
1694044800000,1633.15000000,1660.00000000,1623.40000000,1648.11000000,228558.27820000,1694048399999,374542954.19473201,319517.00000000,108679.21550000,178109929.79143399,0
1694131200000,1648.11000000,1658.93000000,1616.21000000,1636.44000000,221570.04580000,1694134799999,362938822.78561801,312966.00000000,109915.19530000,180061629.98089299,0
1694217600000,1636.43000000,1637.52000000,1629.74000000,1635.54000000,58519.62290000,1694221199999,95627623.41755600,156305.00000000,26774.70470000,43756923.41116400,0
1694304000000,1635.53000000,1635.70000000,1600.00000000,1617.42000000,207957.84280000,1694307599999,336517904.44357198,292581.00000000,100039.46380000,161887440.95607501,0
1694390400000,1617.42000000,1619.00000000,1531.01000000,1551.85000000,417424.81890000,1694393999999,657137141.34231997,470056.00000000,202066.27300000,318051411.66556501,0
1694476800000,1551.84000000,1626.00000000,1549.67000000,1592.97000000,329739.96850000,1694480399999,525392019.74439198,444268.00000000,163861.72240000,260938398.99068400,0
1694563200000,1592.97000000,1619.30000000,1581.88000000,1607.62000000,223409.28890000,1694566799999,357304191.67390102,349327.00000000,107880.37120000,172522864.73323101,0
