time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open
2024-01-03,44946.91,2355.35,106.72,0.09109
2024-01-04,42845.23,2209.72,98.52,0.082
2024-01-05,44151.1,2267.11,104.91,0.08401
2024-01-06,44145.12,2268.78,99.93,0.08267
2024-01-07,43968.32,2240.77,93.77,0.08058
2024-01-08,43929.01,2221.42,89.44,0.07822
2024-01-09,46951.04,2330.43,97.88,0.0813
2024-01-10,46110.0,2344.3,99.36,0.07922
2024-01-11,46654.0,2584.37,101.99,0.08307
2024-01-12,46339.16,2618.01,99.89,0.08456
2024-01-13,42782.74,2522.55,92.14,0.08007
2024-01-14,42847.99,2578.18,95.85,0.08094
2024-01-15,41732.35,2472.87,93.81,0.08002
2024-01-16,42511.1,2511.79,94.35,0.08108
2024-01-17,43137.94,2587.41,97.6,0.08134
2024-01-18,42776.09,2530.2,102.1,0.0806
2024-01-19,41327.51,2470.81,94.39,0.07808
2024-01-20,41659.03,2491.99,93.62,0.07856
2024-01-21,41696.05,2472.02,92.88,0.08777
2024-01-22,41580.32,2457.06,91.08,0.08547
2024-01-23,39568.02,2314.19,83.84,0.08057
2024-01-24,39897.59,2242.6,84.36,0.07821
2024-01-25,40084.89,2235.02,88.77,0.07905
2024-01-26,39961.09,2218.64,86.9,0.07795
2024-01-27,41823.51,2267.67,92.29,0.07985
2024-01-28,42120.63,2267.94,94.27,0.08014
2024-01-29,42031.05,2256.9,95.99,0.07883
2024-01-30,43302.71,2317.61,101.67,0.08137
2024-01-31,42941.1,2343.0,101.4,0.07971
2024-02-01,42580.0,2283.15,96.96,0.07874
2024-02-02,43082.95,2304.28,97.81,0.07937
2024-02-03,43199.99,2309.07,100.57,0.07928
2024-02-04,43011.1,2296.5,97.95,0.07874
2024-02-05,42582.88,2289.79,95.48,0.07831
2024-02-06,42708.7,2301.84,95.66,0.07835
2024-02-07,43098.96,2372.63,96.87,0.07848
2024-02-08,44349.6,2425.09,101.14,0.08013
2024-02-09,45288.66,2419.56,102.77,0.07986
2024-02-10,47132.78,2486.56,106.94,0.08154
2024-02-11,47751.08,2500.24,109.01,0.08141
2024-02-12,48300.0,2507.22,107.46,0.08123
2024-02-13,49917.28,2659.99,111.65,0.08223
2024-02-14,49699.6,2639.99,112.49,0.08105
2024-02-15,51795.17,2774.8,116.97,0.08549
2024-02-16,51880.01,2822.58,113.5,0.08527
2024-02-17,52124.1,2801.81,110.32,0.08591
2024-02-18,51642.64,2785.92,108.92,0.08355
2024-02-19,52137.68,2881.2,112.25,0.08516
2024-02-20,51774.74,2944.8,111.53,0.08942
2024-02-21,52258.82,3014.81,108.32,0.08615
2024-02-22,51849.38,2967.91,105.04,0.08457
2024-02-23,51288.42,2971.4,101.75,0.08409
2024-02-24,50744.15,2922.25,99.91,0.08451
2024-02-25,51568.21,2992.62,104.02,0.08616
2024-02-26,51728.85,3112.6,103.47,0.08613
2024-02-27,54476.48,3175.95,109.9,0.08923
2024-02-28,57037.35,3242.35,108.35,0.09759
2024-02-29,62432.11,3383.11,119.03,0.11585
2024-03-01,61130.99,3340.1,125.68,0.11732
2024-03-02,62387.9,3433.42,129.43,0.13934
2024-03-03,61987.28,3421.39,130.03,0.14195
2024-03-04,63113.97,3487.8,130.16,0.15346
2024-03-05,68245.71,3627.75,133.26,0.18197
2024-03-06,63724.01,3553.66,125.31,0.15304
2024-03-07,66074.04,3818.58,130.8,0.15784
2024-03-08,66823.18,3868.76,143.82,0.15762
2024-03-09,68124.2,3883.37,144.79,0.16456
2024-03-10,68313.28,3905.2,144.3,0.17875
2024-03-11,68955.88,3878.47,144.39,0.16998
2024-03-12,72078.1,4064.8,148.83,0.182
2024-03-13,71452.0,3979.97,151.06,0.16817
2024-03-14,73072.4,4004.79,163.9,0.16895
2024-03-15,71388.94,3881.69,176.65,0.1772
2024-03-16,69499.84,3742.19,183.95,0.16358
2024-03-17,65300.64,3523.09,182.05,0.14253
2024-03-18,68393.47,3644.7,201.85,0.15428
2024-03-19,67610.0,3520.47,195.92,0.14352
2024-03-20,61937.41,3158.65,169.82,0.12879
2024-03-21,67840.51,3516.53,191.76,0.15209
2024-03-22,65501.28,3492.84,179.46,0.15536
2024-03-23,63796.64,3336.35,175.21,0.15294
2024-03-24,63990.02,3329.53,172.65,0.16191
2024-03-25,67210.0,3454.99,183.87,0.17651
2024-03-26,69880.0,3590.43,188.98,0.17526
2024-03-27,69987.99,3587.32,190.46,0.18231
2024-03-28,69469.99,3501.2,186.34,0.19048
2024-03-29,70780.6,3560.49,189.64,0.22002
2024-03-30,69850.53,3509.74,192.02,0.213
2024-03-31,69582.17,3505.65,194.19,0.19913
2024-04-01,71280.0,3645.29,202.45,0.22
2024-04-02,69649.81,3503.8,192.24,0.20502
2024-04-03,65463.99,3278.96,181.53,0.18249
2024-04-04,65963.27,3310.83,185.05,0.17521
2024-04-05,68487.8,3327.39,184.0,0.17997
2024-04-06,67820.63,3317.85,174.37,0.17719
2024-04-07,68896.0,3351.59,178.69,0.18576
2024-04-08,69360.38,3454.2,179.51,0.19887
2024-04-09,71620.0,3694.61,180.68,0.20261
2024-04-10,69146.0,3506.4,172.41,0.18915
2024-04-11,70631.08,3545.64,173.3,0.19971
2024-04-12,70006.22,3502.52,172.37,0.19382
2024-04-13,67116.52,3237.42,153.16,0.17403
2024-04-14,63924.52,3007.01,138.47,0.15254
2024-04-15,65661.85,3155.11,151.26,0.1621
2024-04-16,63419.99,3102.0,138.51,0.16123
2024-04-17,63793.4,3084.21,136.21,0.156
2024-04-18,61277.38,2985.41,131.84,0.14755
2024-04-19,63470.09,3064.4,142.08,0.15222
2024-04-20,63818.01,3056.45,142.5,0.15632
2024-04-21,64940.58,3155.79,151.21,0.16259
2024-04-22,64941.15,3147.66,148.81,0.15823
2024-04-23,66819.32,3200.19,156.94,0.16121
2024-04-24,66414.0,3219.46,154.75,0.15979
2024-04-25,64289.58,3140.79,147.79,0.15139
2024-04-26,64498.33,3155.81,144.83,0.15126
2024-04-27,63770.0,3131.3,139.23,0.14802
2024-04-28,63461.98,3255.55,141.31,0.14776
2024-04-29,63118.62,3263.44,137.99,0.14671
2024-04-30,63866.0,3216.74,137.79,0.14343
2024-05-01,60672.01,3014.04,126.76,0.13337
2024-05-02,58364.97,2972.46,134.64,0.13021
2024-05-03,59060.6,2986.19,137.58,0.13189
2024-05-04,62882.01,3102.61,143.7,0.14604
2024-05-05,63892.03,3117.24,146.05,0.16012
2024-05-06,64012.0,3136.4,145.74,0.161
2024-05-07,63165.18,3062.59,152.81,0.15649
2024-05-08,62312.07,3005.69,148.03,0.14999
2024-05-09,61193.03,2974.2,142.17,0.14323
2024-05-10,63074.0,3036.24,152.56,0.1522
2024-05-11,60799.99,2909.98,146.02,0.14389
2024-05-12,60825.99,2912.45,145.42,0.14305
2024-05-13,61484.0,2929.3,143.42,0.14122
2024-05-14,62940.09,2950.99,147.53,0.14863
2024-05-15,61577.49,2881.93,142.03,0.14552
2024-05-16,66206.51,3032.55,158.52,0.15533
2024-05-17,65235.21,2944.7,159.36,0.14971
2024-05-18,67024.0,3092.0,169.43,0.15555
2024-05-19,66915.2,3122.94,172.4,0.15302
2024-05-20,66274.0,3071.2,169.93,0.14908
2024-05-21,71446.62,3661.79,186.69,0.16573
2024-05-22,70148.34,3789.59,178.15,0.17023
2024-05-23,69166.62,3737.72,176.96,0.16628
2024-05-24,67969.66,3783.6,176.15,0.15973
2024-05-25,68549.99,3728.28,167.7,0.16386
2024-05-26,69290.56,3749.25,168.35,0.17402
2024-05-27,68507.67,3826.47,163.42,0.16621
2024-05-28,69436.43,3894.21,170.15,0.16908
2024-05-29,68398.4,3844.69,168.68,0.16496
2024-05-30,67652.41,3767.44,168.32,0.16386
2024-05-31,68352.17,3747.9,166.88,0.15945
2024-06-01,67540.01,3762.29,165.65,0.15898
2024-06-02,67766.84,3815.82,166.14,0.16031
2024-06-03,67765.62,3780.92,163.14,0.1571
2024-06-04,68809.89,3767.07,164.9,0.15834
2024-06-05,70537.83,3810.23,171.78,0.16136
2024-06-06,71108.0,3866.0,173.55,0.16327
2024-06-07,70799.06,3813.47,170.15,0.16015
2024-06-08,69355.6,3678.31,162.51,0.1482
2024-06-09,69310.46,3681.58,157.83,0.1459
2024-06-10,69648.15,3706.4,162.12,0.14679
2024-06-11,69540.0,3667.85,159.04,0.14478
2024-06-12,67314.23,3497.33,149.31,0.13806
2024-06-13,68263.98,3560.13,155.21,0.14621
2024-06-14,66773.01,3469.4,147.29,0.1411
2024-06-15,66043.99,3481.8,143.04,0.13499
2024-06-16,66228.25,3568.75,145.52,0.13678
2024-06-17,66676.86,3624.41,151.3,0.13713
2024-06-18,66504.33,3511.47,143.28,0.12879
2024-06-19,65175.32,3483.42,137.41,0.12224
2024-06-20,64974.37,3560.51,135.62,0.12247
2024-06-21,64869.99,3513.08,133.55,0.12455
2024-06-22,64143.56,3518.5,134.61,0.12418
2024-06-23,64262.01,3495.76,133.7,0.12376
2024-06-24,63210.01,3420.91,128.68,0.12222
2024-06-25,60293.3,3352.74,132.34,0.11901
2024-06-26,61806.01,3394.91,136.57,0.12616
2024-06-27,60864.98,3371.77,136.81,0.12277
2024-06-28,61706.46,3450.44,149.71,0.12711
2024-06-29,60427.84,3380.15,140.03,0.12306
2024-06-30,60986.68,3378.8,140.28,0.1219
2024-07-01,62772.01,3438.16,146.61,0.12449
2024-07-02,62900.0,3442.2,146.68,0.12352
2024-07-03,62135.46,3421.35,154.03,0.1253
2024-07-04,60208.57,3295.49,140.84,0.11849
2024-07-05,57050.02,3059.7,127.85,0.10503
2024-07-06,56628.79,2981.79,134.32,0.10548
2024-07-07,58230.13,3066.83,143.05,0.11343
2024-07-08,55857.81,2930.99,131.64,0.10415
2024-07-09,56714.61,3019.01,139.81,0.10757
2024-07-10,58050.0,3066.65,141.43,0.10756
2024-07-11,57725.85,3101.06,141.99,0.108
2024-07-12,57339.89,3099.57,135.73,0.10664
2024-07-13,57889.09,3133.89,139.47,0.10769
2024-07-14,59204.01,3175.93,141.89,0.11231
2024-07-15,60797.91,3245.2,147.66,0.11535
2024-07-16,64724.06,3483.2,159.37,0.1249
2024-07-17,65044.0,3444.14,160.62,0.12479
2024-07-18,64087.99,3387.05,155.5,0.12179
2024-07-19,63987.92,3426.49,159.22,0.11955
2024-07-20,66660.01,3503.53,169.12,0.12543
2024-07-21,67139.97,3517.5,173.6,0.13423
2024-07-22,68165.35,3535.93,184.49,0.14027
2024-07-23,67532.0,3439.61,178.9,0.13777
2024-07-24,65936.0,3482.51,173.03,0.1303
2024-07-25,65376.01,3335.82,178.07,0.12793
2024-07-26,65799.95,3175.47,171.86,0.12525
2024-07-27,67908.0,3274.6,183.07,0.13419
2024-07-28,67896.49,3249.0,183.92,0.13143
2024-07-29,68249.88,3270.16,184.91,0.13005
2024-07-30,66784.68,3317.66,182.57,0.12844
2024-07-31,66188.0,3279.2,179.16,0.12551
2024-08-01,64628.01,3232.74,171.7,0.12192
2024-08-02,65354.02,3203.4,167.37,0.11899
2024-08-03,61498.34,2989.61,152.78,0.11154
2024-08-04,60697.99,2903.65,142.53,0.10812
2024-08-05,58161.0,2688.91,138.32,0.10375
2024-08-06,54018.82,2419.76,129.79,0.09437
2024-08-07,56022.0,2461.33,144.4,0.09646
2024-08-08,55133.76,2342.79,144.78,0.09561
2024-08-09,61686.0,2682.5,163.12,0.10747
2024-08-10,60837.99,2598.79,156.29,0.10386
2024-08-11,60923.51,2609.92,154.01,0.10519
2024-08-12,58712.59,2555.38,141.56,0.10059
2024-08-13,59346.64,2722.3,146.29,0.10791
2024-08-14,60587.16,2702.44,146.65,0.10637
2024-08-15,58683.39,2661.45,143.7,0.1024
2024-08-16,57541.05,2569.9,142.58,0.10021
2024-08-17,58874.59,2592.72,139.04,0.10034
2024-08-18,59491.99,2614.51,141.92,0.10275
2024-08-19,58427.35,2612.15,142.42,0.10005
2024-08-20,59438.5,2636.36,144.28,0.10132
2024-08-21,59013.8,2572.81,142.27,0.10289
2024-08-22,61156.03,2630.71,142.78,0.10615
2024-08-23,60375.83,2622.89,143.23,0.10526
2024-08-24,64037.24,2762.49,153.27,0.11292
2024-08-25,64157.02,2768.01,160.67,0.11258
2024-08-26,64219.99,2746.12,158.92,0.1096
2024-08-27,62834.0,2680.49,157.12,0.1052
2024-08-28,59415.0,2457.33,146.78,0.0989
2024-08-29,59034.9,2528.33,143.96,0.09965
2024-08-30,59359.0,2527.6,140.01,0.10037
2024-08-31,59123.99,2525.99,137.99,0.10177
2024-09-01,58974.0,2513.0,135.35,0.10128
2024-09-02,57301.77,2425.71,128.5,0.09508
