time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open,ADAUSDT_Open,BNBUSDT_Open,LINKUSDT_Open,TRXUSDT_Open,XRPUSDT_Open,USDCUSDT_Open
2023-05-22,26747.78,1804.91,19.61,0.07212,0.3602,306.4,6.43,0.075,0.4574,0.9997
2023-05-23,26849.28,1817.36,19.52,0.07292,0.3679,309.1,6.534,0.078,0.4618,0.9998
2023-05-24,27219.61,1854.06,20.02,0.07288,0.3704,313.5,6.505,0.07848,0.4651,0.9999
2023-05-25,26329.0,1799.89,19.22,0.07065,0.3639,305.9,6.321,0.07685,0.453,1.0001
2023-05-26,26473.8,1805.61,19.25,0.07087,0.3582,304.6,6.279,0.07676,0.4538,0.9999
2023-05-27,26705.93,1827.8,19.35,0.07097,0.3626,306.9,6.344,0.07537,0.4684,0.9997
2023-05-28,26854.28,1829.89,20.42,0.07255,0.3667,307.4,6.437,0.07714,0.4714,0.9997
2023-05-29,28065.01,1908.64,20.81,0.07353,0.3828,314.2,6.636,0.07743,0.482,0.9999
2023-05-30,27736.39,1892.6,20.57,0.07313,0.3786,311.7,6.637,0.0761,0.4946,0.9996
2023-05-31,27694.39,1900.58,21.25,0.07231,0.3779,311.4,6.611,0.07635,0.5205,0.9997
2023-06-01,27210.36,1873.63,20.82,0.07165,0.3744,306.8,6.478,0.07521,0.5167,0.9998
2023-06-02,26817.93,1861.78,20.49,0.07143,0.3644,304.9,6.344,0.07477,0.5065,0.9998
2023-06-03,27242.59,1906.69,21.26,0.07257,0.3782,307.3,6.451,0.08266,0.5245,0.9998
2023-06-04,27069.22,1892.05,21.19,0.07271,0.376,306.6,6.421,0.08176,0.5188,0.9997
2023-06-05,27115.2,1890.0,21.83,0.07249,0.3773,305.1,6.45,0.08137,0.5359,0.9997
2023-06-06,25728.2,1810.49,20.01,0.0664,0.3514,277.0,6.054,0.07833,0.5089,0.9997
2023-06-07,27230.07,1884.65,20.38,0.07025,0.353,281.2,6.261,0.0782,0.53,0.9998
2023-06-08,26339.34,1832.12,18.64,0.06728,0.3223,259.3,5.919,0.07676,0.5183,0.9998
2023-06-09,26498.62,1845.65,18.88,0.06796,0.3229,261.9,5.994,0.07741,0.5237,1.0
2023-06-10,26477.8,1840.37,17.4,0.06947,0.2951,260.6,5.992,0.07201,0.538,1.0001
2023-06-11,25841.22,1751.52,15.61,0.06175,0.2748,238.8,5.233,0.0696,0.5067,0.9995
2023-06-12,25925.54,1752.77,15.55,0.06152,0.2719,235.4,5.175,0.07024,0.5209,0.9996
2023-06-13,25905.2,1742.57,15.19,0.06144,0.2747,231.3,5.16,0.07115,0.5251,1.0
2023-06-14,25934.24,1740.12,15.03,0.06174,0.2752,244.1,5.299,0.07192,0.5193,1.0002
2023-06-15,25128.6,1650.95,14.49,0.06038,0.2634,237.9,5.25,0.07101,0.4802,1.0002
2023-06-16,25598.49,1666.96,14.78,0.06154,0.2621,236.5,5.312,0.07097,0.4801,1.0009
2023-06-17,26345.01,1717.91,15.32,0.06219,0.2633,239.4,5.325,0.07053,0.4758,1.0007
2023-06-18,26516.99,1727.75,15.65,0.0622,0.2667,244.5,5.282,0.07163,0.4794,1.0004
2023-06-19,26339.98,1720.95,15.45,0.06212,0.261,244.1,5.157,0.07016,0.4868,1.0002
2023-06-20,26844.35,1737.1,16.1,0.06244,0.2634,243.0,5.134,0.06999,0.4935,1.0002
2023-06-21,28308.0,1791.99,16.65,0.06314,0.2706,247.8,5.267,0.07058,0.4928,0.9998
2023-06-22,29993.89,1889.1,17.23,0.06562,0.2861,248.9,5.555,0.07232,0.4999,1.0
2023-06-23,29884.92,1872.0,16.62,0.06556,0.2899,240.8,5.557,0.07227,0.4937,0.9997
2023-06-24,30688.51,1892.63,17.14,0.06823,0.2967,244.4,6.071,0.07315,0.496,0.9995
2023-06-25,30527.44,1874.95,16.64,0.06669,0.2893,236.4,6.133,0.07221,0.4865,0.9996
2023-06-26,30462.67,1898.8,16.96,0.06672,0.292,238.9,6.157,0.07314,0.4903,0.9996
2023-06-27,30267.99,1858.97,16.27,0.06474,0.2806,236.1,6.058,0.07384,0.479,0.9999
2023-06-28,30692.44,1889.58,16.63,0.06557,0.2868,237.5,6.2,0.07433,0.4839,0.9999
2023-06-29,30077.4,1828.03,15.98,0.06257,0.2669,230.6,5.814,0.07376,0.4648,1.0001
2023-06-30,30447.31,1851.99,18.0,0.06342,0.2753,233.2,5.891,0.07445,0.4747,1.0002
2023-07-01,30471.99,1933.8,18.85,0.06646,0.287,240.4,6.313,0.0762,0.473,1.0002
2023-07-02,30585.9,1924.5,18.7,0.06851,0.2924,247.8,6.503,0.07726,0.4732,1.0002
2023-07-03,30617.02,1937.49,19.46,0.06801,0.2916,246.5,6.541,0.07603,0.4844,1.0
2023-07-04,31156.2,1955.55,19.25,0.06845,0.2966,246.5,6.628,0.07732,0.489,1.0
2023-07-05,30766.52,1936.19,19.14,0.06891,0.2924,242.5,6.523,0.07703,0.4872,0.9999
2023-07-06,30504.8,1910.35,18.99,0.06697,0.2839,239.0,6.299,0.07706,0.4777,1.0
2023-07-07,29895.42,1846.17,19.61,0.06484,0.2783,232.3,6.08,0.07709,0.4622,1.0
2023-07-08,30344.7,1870.92,21.51,0.0654,0.2844,235.7,6.157,0.07881,0.4686,0.9999
2023-07-09,30284.63,1865.24,21.82,0.06573,0.2907,236.3,6.198,0.08007,0.4705,0.9998
